4,738
204,735
404,738
605,740
805,744
1006,752
1206,757
1406,754
1607,753
1808,755
2009,758
2208,758
2409,756
2610,756
2810,756
3011,757
3211,754
3411,753
3612,756
3813,757
4014,756
4213,754
4414,755
4615,756
4815,754
5016,753
5216,756
5416,758
5617,756
5818,755
6018,755
6218,755
6419,753
6620,751
6820,754
7020,758
7221,756
7421,753
7622,754
7823,754
8023,753
8223,751
8424,753
8625,756
8825,755
9025,752
9226,752
9426,755
9627,752
9828,750
10028,754
10228,756
10429,754
10630,752
10830,751
11031,753
11231,752
11431,749
11632,756
11833,755
12034,753
12234,752
12434,751
12635,752
12835,751
13036,749
13237,753
13437,755
13637,753
13838,750
14039,751
14239,752
14440,750
14641,748
14840,745
15041,755
15242,753
15442,750
15643,751
15844,748
16044,750
16244,748
16445,751
16646,753
16846,752
17047,754
17248,759
17447,759
17648,758
17849,757
18050,757
18250,758
18451,753
18651,755
18851,758
19052,758
19253,756
19453,756
19654,756
19854,757
20055,754
20255,753
20456,756
20657,757
20857,752
21057,750
21258,748
21458,745
21659,755
21860,753
22061,750
22260,751
22461,748
22662,750
22862,748
23063,751
23264,753
23463,752
23664,754
23865,759
24066,759
24266,758
24467,757
24667,757
24867,758
25068,753
25269,755
25469,758
25670,758
25870,756
26071,756
26271,756
26472,757
26673,754
26873,753
27073,756
27274,757
27474,753
27675,751
27876,750
28077,749
28277,752
28477,748
28678,748
28878,746
29079,749
29280,751
29480,753
29680,752
29881,752
30082,744
30282,746
30483,750
30684,753
30883,754
31084,754
31285,749
31485,756
31686,758
31887,753
32087,758
32287,758
32488,756
32689,756
32889,756
33090,757
33290,754
33490,753
33691,756
33892,757
34093,752
34293,750
34493,748
34694,745
34894,755
35095,744
35296,746
35496,750
35696,753
35897,754
36098,754
36298,749
36499,756
36700,754
36900,752
37100,755
37301,756
37501,759
37702,758
37903,756
38104,752
38303,758
38504,756
38705,777
38905,752
39106,753
39307,751
39506,750
39707,749
39908,752
40109,748
40309,748
40510,746
40710,749
40910,751
41111,753
41312,752
41512,752
41713,744
41913,746
42114,750
42314,753
42515,754
42716,754
42916,749
43117,756
43317,758
43517,744
43718,748
43919,756
44120,759
44320,758
44520,756
44721,752
44921,754
45122,750
45323,749
45523,746
45723,746
45924,747
46125,749
46325,750
46526,753
46727,754
46926,755
47127,756
47328,757
47528,755
47729,755
47930,755
48130,754
48330,756
48531,752
48732,750
48932,750
49133,749
49334,748
49533,744
49734,743
49935,746
50136,748
50336,748
50537,747
50737,749
50937,752
51138,755
51339,754
51539,754
51740,753
51940,751
52141,747
52341,751
52542,748
52743,749
52943,749
53143,749
53344,748
53544,751
53745,753
53946,752
54147,751
54346,749
54547,749
54748,748
54948,750
55149,750
55350,750
55550,750
55751,751
55952,749
56152,748
56352,751
56553,753
56754,751
56954,750
